Frame,Tracker,IoU
0,CSRT,0.8234944237918216
0,KCF,0.8454477050413844
0,MIL,0.813919088824791
0,BOOSTING,0.8260286891348588
0,MEDIANFLOW,0.796365726854629
0,MOSSE,0.8121922965537214
0,Fused,0.8491321762349799
1,CSRT,0.7786270413976453
1,KCF,0.8234944237918216
1,MIL,0.7766026801883376
1,BOOSTING,0.7460784546382211
1,MEDIANFLOW,0.7518142235123367
1,MOSSE,0.7479050279329609
1,Fused,0.8482230069877527
2,CSRT,0.8849465170884425
2,KCF,0.9085391159991699
2,MIL,0.8164716338320249
2,BOOSTING,0.7909161717456917
2,MEDIANFLOW,0.817858140184306
2,MOSSE,0.805308457950666
2,Fused,0.8864589955499046
3,CSRT,0.8374461010961608
3,KCF,0.8777083067500319
3,MIL,0.8070140969595756
3,BOOSTING,0.6977710092759242
3,MEDIANFLOW,0.7485226967499329
3,MOSSE,0.7417020388281956
3,Fused,0.8191095991717202
4,CSRT,0.748526018969495
4,KCF,0.8545647023239401
4,MIL,0.7792232915800165
4,BOOSTING,0.7399262202043133
4,MOSSE,0.7455483750987959
4,Fused,0.7536361656300671
5,CSRT,0.810323227261338
5,KCF,0.8466519425760466
5,MIL,0.802587093929149
5,BOOSTING,0.714865053838624
5,MEDIANFLOW,0.7842739010590454
5,MOSSE,0.7756810442678774
5,Fused,0.7707152333855989
6,CSRT,0.8223780457044847
6,KCF,0.8915625482029924
6,MIL,0.7957241177331966
6,BOOSTING,0.8044437904649794
6,MEDIANFLOW,0.8060250883905652
6,MOSSE,0.7846702317290553
6,Fused,0.7849869071864999
7,CSRT,0.9359065435314547
7,KCF,0.8683154740744503
7,MIL,0.8652841859757643
7,BOOSTING,0.8676515382272312
7,MEDIANFLOW,0.8785151856017998
7,MOSSE,0.8405765129788955
7,Fused,0.8408920820236492
8,CSRT,0.9232558747418773
8,KCF,0.7579681750848186
8,MIL,0.9468169550722337
8,BOOSTING,0.9252184834371239
8,MEDIANFLOW,0.9246680286006129
8,MOSSE,0.9145843957164712
8,Fused,0.9318715740015662
9,CSRT,0.8634204570888563
9,KCF,0.6668101397730104
9,MIL,0.8729285987017946
9,BOOSTING,0.8489722068653566
9,MEDIANFLOW,0.8284421186620465
9,MOSSE,0.9063214013709063
9,Fused,0.8956813502452912
10,CSRT,0.808473017893769
10,KCF,0.6441276367536647
10,MIL,0.8429516080553051
10,BOOSTING,0.9403992721327039
10,MEDIANFLOW,0.7991851391478489
10,MOSSE,0.9125362946360348
10,Fused,0.8925407042786823
11,CSRT,0.7447054893664402
11,KCF,0.6246687864334923
11,MIL,0.7766026801883376
11,BOOSTING,0.7843146764962654
11,MEDIANFLOW,0.7196393408643382
11,MOSSE,0.8472324723247232
11,Fused,0.8232625135037811
12,CSRT,0.8743585984459756
12,KCF,0.6942525559546836
12,MIL,0.8676515382272312
12,BOOSTING,0.9190422785008215
12,MEDIANFLOW,0.7533078139302655
12,MOSSE,0.9313271604938271
12,Fused,0.9112184810508833
13,CSRT,0.894074074074074
13,KCF,0.6864470879460909
13,MIL,0.850181050090525
13,BOOSTING,0.942499603991763
13,MEDIANFLOW,0.7141730109265907
13,MOSSE,0.9313271604938271
13,Fused,0.9020926756352765
14,CSRT,0.8627974745021856
14,KCF,0.6517307951331208
14,MIL,0.8404622542398319
14,BOOSTING,0.9107198504206918
14,MEDIANFLOW,0.66635995583364
14,MOSSE,0.8739705515348141
14,Fused,0.854230081654346
15,CSRT,0.8551390568319226
15,KCF,0.6805536521858297
15,MIL,0.8482290881688018
15,BOOSTING,0.9296616837136114
15,MEDIANFLOW,0.6550052458304693
15,MOSSE,0.8739705515348141
15,Fused,0.8505111244738425
16,CSRT,0.8705193855157278
16,KCF,0.658843422387555
16,MIL,0.8206517704698983
16,BOOSTING,0.9690109184328838
16,MEDIANFLOW,0.6631868131868132
16,MOSSE,0.8660536779324056
16,Fused,0.854230081654346
17,CSRT,0.8627974745021856
17,KCF,0.6029366912117119
17,MIL,0.6844008973948079
17,BOOSTING,0.9403992721327039
17,MEDIANFLOW,0.6747540250447227
17,MOSSE,0.7894761927458176
17,Fused,0.796507817620073
18,CSRT,0.8275058275058275
18,KCF,0.5935286855954779
18,MIL,0.7161449829733638
18,BOOSTING,0.9252184834371239
18,MEDIANFLOW,0.6385117263269264
18,MOSSE,0.7604445069630047
18,Fused,0.7902189680182358
19,CSRT,0.8455431252255503
19,KCF,0.6223045376372536
19,MIL,0.7471149736429691
19,BOOSTING,0.9490860927152318
19,MEDIANFLOW,0.6278610070744902
19,MOSSE,0.7651622002820875
19,Fused,0.8055373984499019
20,CSRT,0.714841392260747
20,KCF,0.5254384873740515
20,MIL,0.6490284407987629
20,BOOSTING,0.6294901891305311
20,MEDIANFLOW,0.6262951554186502
20,MOSSE,0.6559343712786133
20,Fused,0.6499871696176546
21,CSRT,0.7071325247579837
21,KCF,0.5308657387179327
21,MIL,0.6241308522614396
21,BOOSTING,0.6185929869329931
21,MEDIANFLOW,0.6331526490645217
21,MOSSE,0.6477946017116524
21,Fused,0.6309448319594166
22,CSRT,0.608488507419261
22,KCF,0.4449922524299197
22,MIL,0.5080858571008527
22,BOOSTING,0.5511870557991835
22,MEDIANFLOW,0.6254111341210866
22,MOSSE,0.48860074095183814
22,Fused,0.5380715143806092
23,CSRT,0.5793619464580493
23,KCF,0.43053765658023607
23,MIL,0.5030601744028598
23,BOOSTING,0.5148752661171462
23,MEDIANFLOW,0.6593112926624418
23,MOSSE,0.4674110620618021
23,Fused,0.5152409046214356
24,CSRT,0.527327599741814
24,KCF,0.41289617859398203
24,MIL,0.4782942552545581
24,BOOSTING,0.48978710385660557
24,MEDIANFLOW,0.6239656483428009
24,MOSSE,0.4440256959314775
24,Fused,0.49157537863945344
25,CSRT,0.5777552346684842
25,KCF,0.4269182951321368
25,MIL,0.46733322406162925
25,BOOSTING,0.4937760720840981
25,MEDIANFLOW,0.7026770766974325
25,MOSSE,0.44603996568923343
25,Fused,0.4985899516329778
26,CSRT,0.7837348610670498
26,KCF,0.7837348610670498
26,MIL,0.7837348610670498
26,BOOSTING,0.7837348610670498
26,MEDIANFLOW,0.7837348610670498
26,MOSSE,0.7886863887754724
26,Fused,0.758823096456041
27,CSRT,0.711729017288271
27,KCF,0.7224975588186525
27,MIL,0.7224975588186525
27,BOOSTING,0.7224975588186525
27,MEDIANFLOW,0.7241663613045072
27,MOSSE,0.7266733815584654
27,Fused,0.6538591409124029
28,CSRT,0.7365649859783666
28,KCF,0.8114837680998201
28,MIL,0.8114837680998201
28,BOOSTING,0.8114837680998201
28,MEDIANFLOW,0.8115420280368734
28,MOSSE,0.8084161051645951
28,Fused,0.708464171047525
29,CSRT,0.6898338395569055
