Frame,Tracker,Distance
0,Fused,20.396078054371138
0,CSRT,20.396078054371138
0,KCF,20.396078054371138
0,MIL,20.396078054371138
0,BOOSTING,20.396078054371138
0,MEDIANFLOW,20.396078054371138
1,Fused,17.0
1,CSRT,17.029386365926403
1,KCF,17.029386365926403
1,MIL,17.0
1,BOOSTING,17.029386365926403
1,MEDIANFLOW,17.0
2,Fused,16.0
2,CSRT,17.0
2,KCF,15.0
2,MIL,17.0
2,BOOSTING,16.0312195418814
2,MEDIANFLOW,17.0
3,Fused,18.788294228055936
3,CSRT,20.248456731316587
3,KCF,14.317821063276353
3,MIL,19.313207915827967
3,BOOSTING,20.591260281974
3,MEDIANFLOW,19.235384061671343
4,Fused,13.601470508735444
4,CSRT,14.317821063276353
4,KCF,7.280109889280518
4,MIL,14.7648230602334
4,BOOSTING,16.97056274847714
4,MEDIANFLOW,15.0
5,Fused,17.08800749063506
5,CSRT,19.4164878389476
5,KCF,7.810249675906654
5,MIL,19.6468827043885
5,BOOSTING,20.12461179749811
5,MEDIANFLOW,20.615528128088304
6,Fused,13.152946437965905
6,CSRT,18.027756377319946
6,KCF,3.605551275463989
6,MIL,18.027756377319946
6,BOOSTING,12.36931687685298
6,MEDIANFLOW,17.72004514666935
7,Fused,22.47220505424423
7,CSRT,25.96150997149434
7,KCF,12.727922061357855
7,MIL,24.515301344262525
7,BOOSTING,23.08679276123039
7,MEDIANFLOW,25.495097567963924
8,Fused,40.11234224026316
8,CSRT,33.13608305156178
8,KCF,51.15662224971465
8,MIL,33.06055050963308
8,BOOSTING,48.010415536631214
8,MEDIANFLOW,35.510561809129406
9,Fused,5.385164807134504
9,CSRT,3.605551275463989
9,KCF,17.72004514666935
9,MIL,3.605551275463989
9,BOOSTING,8.246211251235321
9,MEDIANFLOW,7.0710678118654755
10,Fused,14.317821063276353
10,CSRT,20.12461179749811
10,KCF,6.708203932499369
10,MIL,17.4928556845359
10,BOOSTING,18.027756377319946
10,MEDIANFLOW,16.492422502470642
10,MOSSE,15.231546211727817
11,Fused,25.553864678361276
11,CSRT,30.01666203960727
11,KCF,12.083045973594572
11,MIL,26.627053911388696
11,BOOSTING,29.068883707497267
11,MEDIANFLOW,28.231188426986208
11,MOSSE,26.419689627245813
12,Fused,16.1245154965971
12,CSRT,14.560219778561036
12,KCF,30.0
12,MIL,13.341664064126334
12,BOOSTING,21.37755832643195
12,MEDIANFLOW,8.06225774829855
12,MOSSE,13.341664064126334
13,Fused,58.05170109479997
13,CSRT,57.87054518492115
13,KCF,71.58910531638176
13,MIL,50.695167422546305
13,BOOSTING,63.387695966961914
13,MEDIANFLOW,49.33558553417604
13,MOSSE,56.568542494923804
14,Fused,66.75327707311455
14,CSRT,65.49045732013177
14,KCF,75.13321502504735
14,MIL,54.91812087098393
14,BOOSTING,87.47571091451616
14,MEDIANFLOW,54.3415126767741
14,MOSSE,63.071388124885914
15,Fused,35.73513677041127
15,CSRT,36.40054944640259
15,KCF,42.37924020083418
15,MIL,22.47220505424423
15,BOOSTING,60.440052945046304
15,MEDIANFLOW,24.413111231467404
15,MOSSE,31.25699921617557
16,Fused,22.825424421026653
16,CSRT,21.470910553583888
16,KCF,23.259406699226016
16,MIL,26.832815729997478
16,BOOSTING,13.892443989449804
16,MEDIANFLOW,26.0
16,MOSSE,25.495097567963924
17,Fused,11.180339887498949
17,CSRT,10.44030650891055
17,KCF,14.866068747318506
17,MIL,9.486832980505138
17,BOOSTING,12.649110640673518
17,MEDIANFLOW,10.816653826391969
17,MOSSE,12.806248474865697
18,Fused,28.861739379323623
18,CSRT,29.274562336608895
18,KCF,25.0
18,MIL,28.284271247461902
18,BOOSTING,25.96150997149434
18,MEDIANFLOW,32.28002478313795
18,MOSSE,33.24154027718932
19,Fused,32.89376840679705
19,CSRT,31.04834939252005
19,KCF,29.154759474226502
19,MIL,30.805843601498726
19,BOOSTING,31.78049716414141
19,MEDIANFLOW,37.0
19,MOSSE,38.48376280978771
20,Fused,17.804493814764857
20,CSRT,16.278820596099706
20,KCF,19.79898987322333
20,MIL,16.64331697709324
20,BOOSTING,22.20360331117452
20,MEDIANFLOW,15.652475842498529
20,MOSSE,19.924858845171276
21,Fused,15.264337522473747
21,CSRT,12.041594578792296
21,KCF,14.212670403551895
21,MIL,7.615773105863909
21,BOOSTING,17.26267650163207
21,MEDIANFLOW,18.384776310850235
21,MOSSE,23.600847442411894
22,Fused,14.866068747318506
22,CSRT,14.212670403551895
22,KCF,13.601470508735444
22,MIL,17.46424919657298
22,BOOSTING,15.033296378372908
22,MEDIANFLOW,16.0312195418814
22,MOSSE,22.0
23,Fused,21.95449840010015
23,CSRT,24.186773244895647
23,KCF,14.866068747318506
23,MIL,35.4400902933387
23,BOOSTING,26.019223662515376
23,MEDIANFLOW,17.0
23,MOSSE,26.076809620810597
24,Fused,16.278820596099706
24,CSRT,14.560219778561036
24,KCF,2.8284271247461903
24,MIL,33.37663853655727
24,BOOSTING,24.698178070456937
24,MEDIANFLOW,8.06225774829855
24,MOSSE,27.313000567495326
25,Fused,10.0
25,CSRT,3.1622776601683795
25,KCF,5.656854249492381
25,MIL,31.400636936215164
25,BOOSTING,22.627416997969522
25,MEDIANFLOW,6.708203932499369
25,MOSSE,22.20360331117452
26,Fused,44.01136216933077
26,CSRT,46.04345773288535
26,KCF,54.3323108288245
26,MIL,23.08679276123039
26,BOOSTING,53.85164807134504
26,MEDIANFLOW,52.23983154643591
26,MOSSE,46.06517122512408
27,Fused,49.01020301937138
27,CSRT,50.48762224545735
27,KCF,58.05170109479997
27,MIL,24.331050121192877
27,BOOSTING,49.64876634922564
27,MEDIANFLOW,55.00909015790027
27,MOSSE,61.84658438426491
28,Fused,41.30375285612676
28,CSRT,43.32435804486894
28,KCF,49.64876634922564
28,MIL,18.35755975068582
28,BOOSTING,46.09772228646444
28,MEDIANFLOW,44.91102314577124
28,MOSSE,54.78138369920935
29,Fused,46.87216658103186
29,CSRT,53.14132102234569
29,KCF,55.97320787662612
29,MIL,25.942243542145693
29,BOOSTING,51.03920062069938
29,MEDIANFLOW,48.38388161361178
29,MOSSE,54.817880294662984
30,Fused,45.89117562233506
30,CSRT,51.86520991955976
30,KCF,56.61271941887264
30,MIL,29.546573405388315
30,BOOSTING,55.036351623268054
30,MEDIANFLOW,42.15447781671598
30,MOSSE,47.53945729601885
31,Fused,47.853944456021594
31,CSRT,54.42425929675111
31,KCF,60.728905802755904
31,MIL,33.734255586866
31,BOOSTING,62.289646009589745
31,MEDIANFLOW,40.311288741492746
31,MOSSE,41.43669871020132
32,Fused,42.44997055358225
32,CSRT,50.15974481593781
32,KCF,58.309518948453004
32,MIL,31.78049716414141
32,BOOSTING,63.50590523722971
32,MEDIANFLOW,34.655446902326915
32,MOSSE,26.019223662515376
33,Fused,24.698178070456937
33,CSRT,38.948684188300895
33,KCF,43.56604182158393
33,MIL,17.72004514666935
33,BOOSTING,49.24428900898052
33,MEDIANFLOW,29.154759474226502
33,MOSSE,6.708203932499369
34,Fused,41.7612260356422
34,CSRT,56.824290580701486
34,KCF,62.609903369994115
34,MIL,38.07886552931954
34,BOOSTING,68.62215385719105
34,MEDIANFLOW,39.35733730830886
34,MOSSE,21.400934559032695
35,Fused,45.27692569068709
35,CSRT,67.97793759742936
35,KCF,65.43699259593154
35,MIL,41.10960958218893
35,BOOSTING,68.24954212300622
35,MEDIANFLOW,50.80354318352215
35,MOSSE,29.832867780352597
36,Fused,49.03060268852505
36,CSRT,80.06247560499239
36,KCF,67.23094525588644
36,MIL,53.75872022286245
36,BOOSTING,87.23531395025755
36,MEDIANFLOW,45.35416188179427
36,MOSSE,25.632011235952593
37,Fused,40.607881008493905
37,CSRT,45.34313619501854
37,KCF,61.71709649683789
37,MIL,61.18823416311342
37,BOOSTING,104.35037134576953
37,MEDIANFLOW,40.44749683231337
37,MOSSE,20.396078054371138
38,Fused,33.24154027718932
38,CSRT,51.478150704935004
38,KCF,60.60528029800704
38,MIL,61.1310068623117
38,BOOSTING,111.75866856758807
38,MEDIANFLOW,49.040799340956916
38,MOSSE,29.274562336608895
39,Fused,28.635642126552707
39,CSRT,12.083045973594572
39,KCF,12.165525060596439
39,MIL,64.5600495662759
39,BOOSTING,120.50726119201282
39,MEDIANFLOW,6.324555320336759
39,MOSSE,7.211102550927978
40,Fused,36.76955262170047
40,CSRT,10.295630140987
40,KCF,16.492422502470642
40,MIL,69.07966415668217
40,BOOSTING,123.06502346320826
40,MEDIANFLOW,16.76305461424021
40,MOSSE,10.0
41,Fused,40.0
41,CSRT,22.090722034374522
41,KCF,25.495097567963924
41,MIL,70.0
41,BOOSTING,123.45849504995596
41,MEDIANFLOW,23.021728866442675
41,MOSSE,14.142135623730951
42,Fused,47.4236228055175
42,CSRT,30.4138126514911
42,KCF,23.259406699226016
42,MIL,74.06078584514209
42,BOOSTING,131.0953851209111
42,MEDIANFLOW,18.027756377319946
43,Fused,34.48187929913333
43,CSRT,33.421549934136806
43,KCF,22.825424421026653
43,MIL,24.186773244895647
43,BOOSTING,33.12099032335839
43,MEDIANFLOW,20.615528128088304
43,MOSSE,116.66190466471906
44,Fused,32.31098884280702
44,CSRT,40.607881008493905
44,KCF,21.470910553583888
44,MIL,18.601075237738275
44,BOOSTING,8.0
44,MEDIANFLOW,29.068883707497267
44,MOSSE,156.33937443907084
45,Fused,31.38470965295043
45,CSRT,52.354560450833695
45,KCF,22.360679774997898
45,MIL,29.120439557122072
45,BOOSTING,18.681541692269406
45,MEDIANFLOW,37.33630940518894
45,MOSSE,175.64168070250295
46,Fused,30.886890422961002
46,CSRT,64.25729530566937
46,KCF,21.18962010041709
46,MIL,30.4138126514911
46,BOOSTING,12.36931687685298
46,MEDIANFLOW,46.32493928760188
46,MOSSE,181.02486017119307
47,Fused,34.713109915419565
47,CSRT,68.6804193347711
47,KCF,22.20360331117452
47,MIL,28.160255680657446
47,BOOSTING,17.46424919657298
47,MEDIANFLOW,53.45091205957107
47,MOSSE,183.3712082089225
48,Fused,41.10960958218893
48,CSRT,86.12200647918046
48,KCF,23.08679276123039
48,MIL,25.179356624028344
48,BOOSTING,41.78516483155236
48,MEDIANFLOW,56.64803615307419
48,MOSSE,185.9139585937538
49,Fused,49.8196748283246
49,CSRT,98.71676655968832
49,KCF,29.410882339705484
49,MIL,20.615528128088304
49,BOOSTING,61.741396161732524
49,MEDIANFLOW,58.82176467941097
49,MOSSE,191.94269978303421
50,Fused,57.0087712549569
50,CSRT,108.24047302187847
50,KCF,34.438350715445125
50,MIL,18.384776310850235
50,BOOSTING,75.15317691222374
50,MEDIANFLOW,60.440052945046304
50,MOSSE,198.04039991880444
51,Fused,60.802960454241045
51,CSRT,110.44002897500525
51,KCF,37.73592452822641
51,MIL,18.601075237738275
51,BOOSTING,86.4060183089118
51,MEDIANFLOW,66.48308055437865
51,MOSSE,202.20039564748632
52,Fused,57.271284253105414
52,CSRT,114.75626344561765
52,KCF,31.240998703626616
52,MIL,9.486832980505138
52,BOOSTING,88.05679985100527
52,MEDIANFLOW,76.96752561957543
52,MOSSE,198.8793604173143
53,Fused,59.464274989274024
53,CSRT,119.07980517283357
53,KCF,33.61547262794322
53,MIL,3.605551275463989
53,BOOSTING,94.14881836751856
53,MEDIANFLOW,84.07734534343957
53,MOSSE,200.9975124224178
54,Fused,61.68468205316454
54,CSRT,125.02799686470227
54,KCF,37.589892258425
54,MIL,8.0
54,BOOSTING,97.51410154434076
54,MEDIANFLOW,90.78546139112804
54,MOSSE,207.01932276963907
55,Fused,66.21933252457322
55,CSRT,129.46814279968643
55,KCF,42.720018726587654
55,MIL,9.219544457292887
55,BOOSTING,106.53168542738823
55,MEDIANFLOW,96.25487000666512
55,MOSSE,213.41274563624359
56,Fused,73.7563556583431
56,CSRT,143.42245291445826
56,KCF,51.92301994298868
56,MIL,13.341664064126334
56,BOOSTING,112.29425630903836
56,MEDIANFLOW,96.89685237405806
56,MOSSE,222.71281956816046
57,Fused,87.64131445842195
57,CSRT,147.6651617681029
57,KCF,52.20153254455275
57,MIL,12.083045973594572
57,BOOSTING,112.44998888394787
57,MEDIANFLOW,14.142135623730951
57,MOSSE,224.50835173774718
58,Fused,101.53324578678651
58,CSRT,156.71949463930773
58,KCF,58.240879114244144
58,MIL,18.384776310850235
58,BOOSTING,119.36498649101419
58,MEDIANFLOW,32.802438933713454
58,MOSSE,231.2098613813866
59,Fused,103.09219175087898
59,CSRT,156.71949463930773
59,KCF,55.97320787662612
59,MIL,21.93171219946131
59,BOOSTING,122.3315167894194
59,MEDIANFLOW,43.41658669218482
59,MOSSE,231.65707414193074
60,Fused,104.12012293500234
60,CSRT,160.44936896105264
60,KCF,55.02726596879042
60,MIL,21.18962010041709
60,BOOSTING,127.01181047445942
60,MEDIANFLOW,38.01315561749642
60,MOSSE,233.02574965011914
61,Fused,105.99056561788883
61,CSRT,165.24527224704494
61,KCF,56.753854494650845
61,MIL,27.073972741361768
61,BOOSTING,130.64838307457157
61,MEDIANFLOW,29.5296461204668
61,MOSSE,235.3720459187964
62,Fused,81.61494961096282
62,CSRT,164.19500601419034
62,KCF,57.0087712549569
62,MIL,32.14031735997639
62,BOOSTING,132.6386067478093
62,MEDIANFLOW,23.259406699226016
62,MOSSE,237.19190542680835
63,Fused,79.30952023559341
63,CSRT,165.19382555047267
63,KCF,56.753854494650845
63,MIL,33.015148038438355
63,BOOSTING,133.4541119636259
63,MEDIANFLOW,11.180339887498949
63,MOSSE,238.6063704095094
64,Fused,113.1591799192624
64,CSRT,172.18594600024707
64,KCF,65.73431371817918
64,MIL,49.0
64,BOOSTING,143.42245291445826
64,MEDIANFLOW,12.041594578792296
64,MOSSE,246.3331078032346
65,Fused,111.61093136427094
65,CSRT,169.29559947027565
65,KCF,67.1863081289633
65,MIL,47.01063709417264
65,BOOSTING,139.70325694127536
65,MEDIANFLOW,9.219544457292887
65,MOSSE,247.04048251248216
66,Fused,113.5649593844862
66,CSRT,168.24089871371942
66,KCF,72.03471385380801
66,MIL,43.04648650006177
66,BOOSTING,144.6789549312546
66,MEDIANFLOW,12.041594578792296
66,MOSSE,251.60286166894048
67,Fused,110.85576214162258
67,CSRT,166.30093204789924
67,KCF,70.3420215802759
67,MIL,38.01315561749642
67,BOOSTING,142.89856542317
67,MEDIANFLOW,9.055385138137417
67,MOSSE,249.68980756130196
68,Fused,98.76234100101111
68,CSRT,157.62296786953354
68,KCF,61.35144660071187
68,MIL,13.152946437965905
68,BOOSTING,131.38112497615478
68,MEDIANFLOW,4.123105625617661
68,MOSSE,241.04978738841484
69,Fused,82.29823813423954
69,CSRT,170.35551062410633
69,KCF,69.12307863514182
69,MIL,19.026297590440446
69,BOOSTING,147.48898263938224
69,MEDIANFLOW,5.385164807134504
69,MOSSE,248.29418035870273
70,Fused,79.51100552753688
70,CSRT,168.66831356244717
70,KCF,63.89053137985315
70,MIL,17.11724276862369
70,BOOSTING,151.47607071745688
70,MEDIANFLOW,0.0
70,MOSSE,246.41834347304587
71,Fused,107.44766167767449
71,CSRT,172.5688268488837
71,KCF,66.48308055437865
71,MIL,18.439088914585774
71,BOOSTING,142.57980221616245
71,MEDIANFLOW,2.23606797749979
71,MOSSE,250.9123352886422
72,Fused,109.38464243210744
72,CSRT,176.63804799646084
72,KCF,69.6419413859206
72,MIL,22.847319317591726
72,BOOSTING,143.19916200872126
72,MEDIANFLOW,1.4142135623730951
72,MOSSE,253.6178227175685
73,Fused,125.1718818265508
73,CSRT,194.92819190666086
73,KCF,84.64632301523794
73,MIL,39.05124837953327
73,BOOSTING,160.12495120998477
73,MEDIANFLOW,15.033296378372908
73,MOSSE,270.29613389761977
74,Fused,121.0495766204905
74,CSRT,191.84629264074925
74,KCF,79.55501241279521
74,MIL,34.17601498127012
74,BOOSTING,157.83535725559088
74,MEDIANFLOW,8.54400374531753
74,MOSSE,266.66083326952986
75,Fused,51.92301994298868
75,CSRT,64.93843238021688
75,KCF,45.880278987817846
75,MIL,37.33630940518894
75,BOOSTING,53.85164807134504
75,MEDIANFLOW,32.984845004941285
75,MOSSE,79.20227269466452
76,Fused,11.40175425099138
76,CSRT,8.602325267042627
76,KCF,20.615528128088304
76,MIL,31.304951684997057
76,BOOSTING,7.280109889280518
76,MEDIANFLOW,33.24154027718932
76,MOSSE,17.46424919657298
77,Fused,12.041594578792296
77,CSRT,21.587033144922902
77,KCF,16.15549442140351
77,MIL,32.2490309931942
77,BOOSTING,15.231546211727817
77,MEDIANFLOW,33.61547262794322
77,MOSSE,40.496913462633174
78,Fused,8.602325267042627
78,CSRT,13.601470508735444
78,KCF,19.313207915827967
78,MIL,34.438350715445125
78,BOOSTING,5.385164807134504
78,MEDIANFLOW,33.83784863137726
78,MOSSE,27.313000567495326
79,Fused,27.202941017470888
79,CSRT,37.656340767525464
79,KCF,20.12461179749811
79,MIL,17.88854381999832
79,BOOSTING,32.984845004941285
79,MEDIANFLOW,17.029386365926403
79,MOSSE,47.042533945356304
80,Fused,20.12461179749811
80,CSRT,13.038404810405298
80,KCF,22.847319317591726
80,MIL,33.1058907144937
80,BOOSTING,17.88854381999832
80,MEDIANFLOW,21.93171219946131
80,MOSSE,11.40175425099138
81,Fused,23.259406699226016
81,CSRT,17.46424919657298
81,KCF,22.847319317591726
81,MIL,30.870698080866262
81,BOOSTING,25.632011235952593
81,MEDIANFLOW,15.652475842498529
81,MOSSE,23.853720883753127
82,Fused,13.601470508735444
82,CSRT,14.317821063276353
82,KCF,15.652475842498529
82,MIL,11.704699910719626
82,BOOSTING,10.0
82,MEDIANFLOW,23.194827009486403
82,MOSSE,15.811388300841896
83,Fused,29.966648127543394
83,CSRT,30.083217912982647
83,KCF,26.832815729997478
83,MIL,36.24913792078372
83,BOOSTING,29.546573405388315
83,MEDIANFLOW,13.416407864998739
83,MOSSE,43.56604182158393
84,Fused,28.635642126552707
84,CSRT,30.364452901377952
84,KCF,26.40075756488817
84,MIL,35.4682957019364
84,BOOSTING,27.313000567495326
84,MEDIANFLOW,8.06225774829855
84,MOSSE,43.9089968002003
85,Fused,27.294688127912362
85,CSRT,22.825424421026653
85,KCF,26.832815729997478
85,MIL,21.213203435596427
85,BOOSTING,31.016124838541646
85,MEDIANFLOW,46.17358552246078
85,MOSSE,26.40075756488817
86,Fused,34.0147027033899
86,CSRT,37.69615364994153
86,KCF,33.61547262794322
86,MIL,42.5440947723653
86,BOOSTING,32.31098884280702
86,MEDIANFLOW,9.433981132056603
86,MOSSE,50.60632371551998
87,Fused,32.64965543462902
87,CSRT,35.84689665786984
87,KCF,33.1058907144937
87,MIL,39.35733730830886
87,BOOSTING,30.4138126514911
87,MEDIANFLOW,5.0
87,MOSSE,50.24937810560445
88,Fused,17.46424919657298
88,CSRT,18.439088914585774
88,KCF,17.88854381999832
88,MIL,21.633307652783937
88,BOOSTING,17.08800749063506
88,MEDIANFLOW,20.223748416156685
88,MOSSE,35.4682957019364
89,Fused,12.041594578792296
89,CSRT,11.661903789690601
89,KCF,12.36931687685298
89,MIL,16.55294535724685
89,BOOSTING,10.04987562112089
89,MEDIANFLOW,25.079872407968907
89,MOSSE,29.206163733020468
90,Fused,15.811388300841896
90,CSRT,18.601075237738275
90,KCF,17.204650534085253
90,MIL,22.67156809750927
90,BOOSTING,15.652475842498529
90,MEDIANFLOW,19.026297590440446
90,MOSSE,36.796738985948195
91,Fused,36.76955262170047
91,CSRT,41.10960958218893
91,KCF,39.0
91,MIL,42.95346318982906
91,BOOSTING,36.6742416417845
