Frame,Tracker,Distance
0,Fused,20.396078054371138
0,CSRT,20.396078054371138
0,KCF,20.396078054371138
0,MIL,20.615528128088304
0,BOOSTING,19.4164878389476
0,MEDIANFLOW,19.6468827043885
1,Fused,17.0
1,CSRT,17.029386365926403
1,KCF,14.035668847618199
1,MIL,15.033296378372908
1,BOOSTING,15.033296378372908
1,MEDIANFLOW,15.0
2,Fused,16.0
2,CSRT,17.0
2,KCF,11.045361017187261
2,MIL,16.1245154965971
2,BOOSTING,14.035668847618199
2,MEDIANFLOW,16.0
3,Fused,18.788294228055936
3,CSRT,20.248456731316587
3,KCF,13.416407864998739
3,MIL,20.248456731316587
3,BOOSTING,21.470910553583888
3,MEDIANFLOW,19.235384061671343
4,Fused,13.601470508735444
4,CSRT,15.652475842498529
4,KCF,8.94427190999916
4,MIL,16.1245154965971
4,BOOSTING,17.69180601295413
4,MEDIANFLOW,16.401219466856727
5,Fused,17.08800749063506
5,CSRT,20.8806130178211
5,KCF,12.206555615733702
5,MIL,20.248456731316587
5,BOOSTING,21.02379604162864
5,MEDIANFLOW,21.93171219946131
6,Fused,13.152946437965905
6,CSRT,19.235384061671343
6,KCF,8.06225774829855
6,MIL,19.1049731745428
6,BOOSTING,12.649110640673518
6,MEDIANFLOW,18.973665961010276
7,Fused,22.47220505424423
7,CSRT,27.51363298439521
7,KCF,15.620499351813308
7,MIL,25.96150997149434
7,BOOSTING,26.248809496813376
7,MEDIANFLOW,26.832815729997478
8,Fused,40.11234224026316
8,CSRT,33.24154027718932
8,KCF,49.25444142409901
8,MIL,33.24154027718932
8,BOOSTING,50.00999900019995
8,MEDIANFLOW,34.713109915419565
9,Fused,5.385164807134504
9,CSRT,4.242640687119285
9,KCF,15.231546211727817
9,MIL,4.47213595499958
9,BOOSTING,15.0
9,MEDIANFLOW,8.06225774829855
10,Fused,14.7648230602334
10,CSRT,19.697715603592208
10,KCF,5.0990195135927845
10,MIL,17.0
10,BOOSTING,17.46424919657298
10,MEDIANFLOW,17.26267650163207
11,Fused,24.698178070456937
11,CSRT,29.5296461204668
11,KCF,12.806248474865697
11,MIL,26.92582403567252
11,BOOSTING,27.730849247724095
11,MEDIANFLOW,28.792360097775937
12,Fused,17.11724276862369
12,CSRT,13.341664064126334
12,KCF,28.0
12,MIL,11.180339887498949
12,BOOSTING,23.345235059857504
12,MEDIANFLOW,7.0710678118654755
13,Fused,58.249463516842795
13,CSRT,56.089214649520635
13,KCF,69.85699678629192
13,MIL,49.040799340956916
13,BOOSTING,59.53990258641679
13,MEDIANFLOW,49.64876634922564
14,Fused,67.08203932499369
14,CSRT,62.64982043070834
14,KCF,73.16419889536138
14,MIL,54.91812087098393
14,BOOSTING,87.55569655939013
14,MEDIANFLOW,53.600373133029585
15,Fused,36.40054944640259
15,CSRT,33.83784863137726
15,KCF,40.496913462633174
15,MIL,21.540659228538015
15,BOOSTING,50.96076922496363
15,MEDIANFLOW,23.600847442411894
16,Fused,5.0990195135927845
16,CSRT,30.083217912982647
16,KCF,30.463092423455635
16,MIL,30.463092423455635
16,BOOSTING,29.732137494637012
16,MEDIANFLOW,30.463092423455635
16,MOSSE,30.528675044947494
17,Fused,13.601470508735444
17,CSRT,6.082762530298219
17,KCF,6.324555320336759
17,MIL,5.0
17,BOOSTING,8.246211251235321
17,MEDIANFLOW,5.830951894845301
17,MOSSE,8.06225774829855
18,Fused,37.12142238654117
18,CSRT,37.013511046643494
18,KCF,36.124783736376884
18,MIL,34.0147027033899
18,BOOSTING,38.118237105091836
18,MEDIANFLOW,37.21558813185679
18,MOSSE,39.81205847478876
19,Fused,34.48187929913333
19,CSRT,38.47076812334269
19,KCF,38.63935817272331
19,MIL,36.22154055254967
19,BOOSTING,41.97618372363071
19,MEDIANFLOW,40.792156108742276
19,MOSSE,43.68065933568311
20,Fused,18.601075237738275
20,CSRT,10.816653826391969
20,KCF,12.529964086141668
20,MIL,12.041594578792296
20,BOOSTING,15.811388300841896
20,MEDIANFLOW,11.40175425099138
20,MOSSE,17.029386365926403
21,Fused,14.7648230602334
21,CSRT,13.892443989449804
21,KCF,16.64331697709324
21,MIL,8.48528137423857
21,BOOSTING,15.264337522473747
21,MEDIANFLOW,18.601075237738275
21,MOSSE,24.041630560342615
22,Fused,16.55294535724685
22,CSRT,13.038404810405298
22,KCF,12.165525060596439
22,MIL,14.7648230602334
22,BOOSTING,13.0
22,MEDIANFLOW,15.0
22,MOSSE,21.02379604162864
23,Fused,23.323807579381203
23,CSRT,23.323807579381203
23,KCF,14.866068747318506
23,MIL,35.11409973215888
23,BOOSTING,30.265491900843113
23,MEDIANFLOW,16.1245154965971
23,MOSSE,25.80697580112788
24,Fused,17.26267650163207
24,CSRT,11.40175425099138
24,KCF,2.8284271247461903
24,MIL,28.284271247461902
24,BOOSTING,17.88854381999832
24,MEDIANFLOW,8.246211251235321
24,MOSSE,27.51363298439521
25,Fused,10.04987562112089
25,CSRT,1.0
25,KCF,5.0
25,MIL,25.495097567963924
25,BOOSTING,15.556349186104045
25,MEDIANFLOW,6.708203932499369
25,MOSSE,18.027756377319946
26,Fused,43.01162633521314
26,CSRT,45.0111097397076
26,KCF,53.150729063673246
26,MIL,29.0
26,BOOSTING,58.137767414994535
26,MEDIANFLOW,52.23983154643591
26,MOSSE,52.392747589718944
27,Fused,49.01020301937138
27,CSRT,49.49747468305833
27,KCF,55.731499172371095
27,MIL,26.30589287593181
27,BOOSTING,46.09772228646444
27,MEDIANFLOW,55.036351623268054
27,MOSSE,62.96824596572466
28,Fused,41.30375285612676
28,CSRT,43.32435804486894
28,KCF,48.38388161361178
28,MIL,20.591260281974
28,BOOSTING,46.2709412050371
28,MEDIANFLOW,45.12205669071391
28,MOSSE,49.040799340956916
29,Fused,46.87216658103186
29,CSRT,52.55473337388365
29,KCF,55.362442142665635
29,MIL,27.294688127912362
29,BOOSTING,47.853944456021594
29,MEDIANFLOW,47.75981574503821
29,MOSSE,48.662100242385755
30,Fused,45.89117562233506
30,CSRT,49.39635614091387
30,KCF,55.02726596879042
30,MIL,30.4138126514911
30,BOOSTING,52.952809179494906
30,MEDIANFLOW,41.6293165929973
30,MOSSE,41.593268686170845
31,Fused,47.853944456021594
31,CSRT,51.07837115648854
31,KCF,58.52349955359813
31,MIL,30.083217912982647
31,BOOSTING,57.0350769263968
31,MEDIANFLOW,39.96248240537617
31,MOSSE,37.12142238654117
32,Fused,42.44997055358225
32,CSRT,46.06517122512408
32,KCF,54.56189146281496
32,MIL,28.231188426986208
32,BOOSTING,56.0
32,MEDIANFLOW,34.655446902326915
32,MOSSE,24.186773244895647
33,Fused,24.698178070456937
33,CSRT,36.40054944640259
33,KCF,39.698866482558415
33,MIL,9.219544457292887
33,BOOSTING,36.76955262170047
33,MEDIANFLOW,30.066592756745816
33,MOSSE,7.280109889280518
34,Fused,41.7612260356422
34,CSRT,52.20153254455275
34,KCF,57.982756057296896
34,MIL,29.068883707497267
34,BOOSTING,58.05170109479997
34,MEDIANFLOW,39.395431207184416
34,MOSSE,21.2602916254693
35,Fused,45.27692569068709
35,CSRT,64.88451279003334
35,KCF,62.93647591023825
35,MIL,34.713109915419565
35,BOOSTING,60.03332407921454
35,MEDIANFLOW,51.62363799656123
35,MOSSE,29.832867780352597
36,Fused,49.03060268852505
36,CSRT,72.03471385380801
36,KCF,63.8200595424354
36,MIL,42.7551166528639
36,BOOSTING,76.47875521999558
36,MEDIANFLOW,46.09772228646444
36,MOSSE,25.632011235952593
37,Fused,40.607881008493905
37,CSRT,44.9221548904324
37,KCF,57.982756057296896
37,MIL,52.009614495783374
37,BOOSTING,89.81091247727082
37,MEDIANFLOW,41.30375285612676
37,MOSSE,20.396078054371138
38,Fused,33.24154027718932
38,CSRT,52.46903848937962
38,KCF,58.0
38,MIL,49.040799340956916
38,BOOSTING,95.01578816175763
38,MEDIANFLOW,50.08991914547278
38,MOSSE,29.427877939124322
39,Fused,28.635642126552707
39,CSRT,2.8284271247461903
39,KCF,3.605551275463989
39,MIL,53.150729063673246
39,BOOSTING,103.00485425454472
39,MEDIANFLOW,3.605551275463989
39,MOSSE,6.082762530298219
40,Fused,36.76955262170047
40,CSRT,5.0990195135927845
40,KCF,4.47213595499958
40,MIL,58.52349955359813
40,BOOSTING,104.86181383134664
40,MEDIANFLOW,4.242640687119285
40,MOSSE,2.23606797749979
41,Fused,40.0
41,CSRT,11.40175425099138
41,KCF,5.385164807134504
41,MIL,56.4003546088143
41,BOOSTING,107.37783756436893
41,MEDIANFLOW,6.324555320336759
41,MOSSE,6.082762530298219
42,Fused,47.4236228055175
42,CSRT,18.601075237738275
42,KCF,5.830951894845301
42,MIL,62.177166226839255
42,BOOSTING,117.92370414806346
42,MEDIANFLOW,11.180339887498949
43,Fused,18.973665961010276
43,CSRT,17.4928556845359
43,KCF,10.816653826391969
43,MIL,7.0710678118654755
43,BOOSTING,7.810249675906654
43,MEDIANFLOW,25.0
44,Fused,15.524174696260024
44,CSRT,24.596747752497688
44,KCF,15.264337522473747
44,MIL,13.45362404707371
44,BOOSTING,7.0710678118654755
44,MEDIANFLOW,33.95585369269929
44,MOSSE,29.017236257093817
45,Fused,14.7648230602334
45,CSRT,36.24913792078372
45,KCF,18.601075237738275
45,MIL,23.53720459187964
45,BOOSTING,5.0990195135927845
45,MEDIANFLOW,41.48493702538308
45,MOSSE,32.01562118716424
46,Fused,12.36931687685298
46,CSRT,45.221676218380054
46,KCF,19.1049731745428
46,MIL,21.587033144922902
46,BOOSTING,7.211102550927978
46,MEDIANFLOW,50.28916384272063
46,MOSSE,35.4682957019364
47,Fused,12.649110640673518
47,CSRT,48.507731342539614
47,KCF,18.601075237738275
47,MIL,23.08679276123039
47,BOOSTING,29.966648127543394
47,MEDIANFLOW,55.02726596879042
47,MOSSE,38.01315561749642
48,Fused,19.79898987322333
48,CSRT,70.40596565632774
48,KCF,17.08800749063506
48,MIL,23.08679276123039
48,BOOSTING,39.0
48,MEDIANFLOW,57.9396237474839
48,MOSSE,46.22769732530488
49,Fused,29.832867780352597
49,CSRT,79.30952023559341
49,KCF,22.0
49,MIL,20.8806130178211
49,BOOSTING,49.193495504995376
49,MEDIANFLOW,60.08327554319921
49,MOSSE,57.38466694161429
50,Fused,37.64306044943742
50,CSRT,88.88756943465155
50,KCF,25.709920264364882
50,MIL,20.248456731316587
50,BOOSTING,58.137767414994535
50,MEDIANFLOW,62.36184731067546
50,MOSSE,67.89698078707183
51,Fused,41.400483088968905
51,CSRT,91.76055797563569
51,KCF,28.792360097775937
51,MIL,20.808652046684813
51,BOOSTING,70.26378868236469
51,MEDIANFLOW,68.41052550594829
51,MOSSE,73.59347797189639
52,Fused,38.27531841800928
52,CSRT,100.2845950283492
52,KCF,21.2602916254693
52,MIL,16.0
52,BOOSTING,70.09279563550022
52,MEDIANFLOW,78.29431652425353
52,MOSSE,71.02112361825881
53,Fused,41.0
53,CSRT,104.58011283222064
53,KCF,22.20360331117452
53,MIL,9.055385138137417
53,BOOSTING,77.46612162745726
53,MEDIANFLOW,85.42247947700886
53,MOSSE,74.70609078247904
54,Fused,44.14748010928823
54,CSRT,110.65260954898443
54,KCF,26.076809620810597
54,MIL,9.848857801796104
54,BOOSTING,81.78630692236935
54,MEDIANFLOW,92.13034245024816
54,MOSSE,80.05623023850174
55,Fused,48.507731342539614
55,CSRT,116.21101496846157
55,KCF,30.675723300355934
55,MIL,3.1622776601683795
55,BOOSTING,91.7877987534291
55,MEDIANFLOW,97.6165969494942
55,MOSSE,86.16263691415206
56,Fused,56.22277118748239
56,CSRT,132.24220203853233
56,KCF,40.26164427839479
56,MIL,5.0
56,BOOSTING,97.86725703727473
56,MEDIANFLOW,98.2700361249552
56,MOSSE,96.13532129243653
57,Fused,69.42621983083913
57,CSRT,135.36986370680884
57,KCF,40.52159917870962
57,MIL,3.1622776601683795
57,BOOSTING,99.84988733093293
57,MEDIANFLOW,6.0
57,MOSSE,98.35141076771599
58,Fused,83.19855767980596
58,CSRT,143.42245291445826
58,KCF,46.84015371452148
58,MIL,9.486832980505138
58,BOOSTING,107.91200118615167
58,MEDIANFLOW,9.219544457292887
58,MOSSE,104.35516278555652
59,Fused,84.64632301523794
59,CSRT,142.42541907960108
59,KCF,44.598206241955516
59,MIL,12.083045973594572
59,BOOSTING,111.01801655587259
59,MEDIANFLOW,7.280109889280518
59,MOSSE,104.67568963231147
60,Fused,85.90692637965812
60,CSRT,147.2175261305528
60,KCF,44.27188724235731
60,MIL,9.219544457292887
60,BOOSTING,114.73883387938018
60,MEDIANFLOW,4.0
60,MOSSE,106.60675400742676
61,Fused,88.11923740024082
61,CSRT,152.11837495845134
61,KCF,46.09772228646444
61,MIL,18.110770276274835
61,BOOSTING,117.42657280190033
61,MEDIANFLOW,2.23606797749979
61,MOSSE,110.35397591387454
62,Fused,88.95504482602435
62,CSRT,151.08275877809487
62,KCF,47.29693436154187
62,MIL,21.0
62,BOOSTING,120.41594578792295
62,MEDIANFLOW,4.123105625617661
62,MOSSE,113.26517558367179
63,Fused,87.5728268357257
63,CSRT,154.0811474515945
63,KCF,47.07440918375928
63,MIL,21.587033144922902
63,BOOSTING,122.2620137246234
63,MEDIANFLOW,5.0
63,MOSSE,114.75626344561765
64,Fused,95.63472172804185
64,CSRT,161.0496817755316
64,KCF,57.0701322935211
64,MIL,39.11521443121589
64,BOOSTING,132.24220203853233
64,MEDIANFLOW,4.47213595499958
64,MOSSE,124.53513560437472
65,Fused,94.76286192385707
65,CSRT,159.11316727411344
65,KCF,57.48912940721924
65,MIL,34.058772731852805
65,BOOSTING,128.47178678604885
65,MEDIANFLOW,3.1622776601683795
65,MOSSE,124.95199078045935
66,Fused,96.62815324738438
66,CSRT,159.07859692617356
66,KCF,62.369864518050704
66,MIL,30.59411708155671
66,BOOSTING,135.36986370680884
66,MEDIANFLOW,7.280109889280518
66,MOSSE,130.61393493804556
67,Fused,93.7709976485267
67,CSRT,159.11316727411344
67,KCF,60.63827174318213
67,MIL,30.265491900843113
67,BOOSTING,133.5402561027947
67,MEDIANFLOW,3.605551275463989
67,MOSSE,128.86038956948718
68,Fused,81.39410298049853
68,CSRT,151.33076356114773
68,KCF,51.24451190127583
68,MIL,4.123105625617661
68,BOOSTING,121.80722474467596
68,MEDIANFLOW,10.198039027185569
68,MOSSE,118.84864324004712
69,Fused,90.79647570252934
69,CSRT,162.15116404145854
69,KCF,59.43904440685432
69,MIL,16.76305461424021
69,BOOSTING,140.1748907615055
69,MEDIANFLOW,5.0990195135927845
69,MOSSE,129.07362240210043
70,Fused,79.51100552753688
70,CSRT,159.31415505221122
70,KCF,54.120236510939236
70,MIL,15.132745950421556
70,BOOSTING,142.22517358048822
70,MEDIANFLOW,6.708203932499369
70,MOSSE,126.84636376341263
71,Fused,90.2551937563706
71,CSRT,163.3064603743526
71,KCF,58.69412236331676
71,MIL,15.811388300841896
71,BOOSTING,128.09761902549164
71,MEDIANFLOW,6.4031242374328485
71,MOSSE,132.4424403278647
72,Fused,92.07062506576133
72,CSRT,168.35973390332975
72,KCF,62.0966987850401
72,MIL,20.248456731316587
72,BOOSTING,137.05838172107534
72,MEDIANFLOW,6.4031242374328485
72,MOSSE,136.12494260788506
73,Fused,108.04628637764465
73,CSRT,186.60385848100785
73,KCF,77.12976079309465
73,MIL,35.4400902933387
73,BOOSTING,154.30165261590687
73,MEDIANFLOW,10.198039027185569
73,MOSSE,153.37535656030275
74,Fused,103.9471019317037
74,CSRT,183.53473785635242
74,KCF,73.00684899377592
74,MIL,29.966648127543394
74,BOOSTING,152.31874474272692
74,MEDIANFLOW,7.211102550927978
74,MOSSE,149.46571513226704
75,Fused,49.47726750741192
75,CSRT,32.55764119219941
75,KCF,32.984845004941285
75,MIL,32.984845004941285
75,BOOSTING,27.202941017470888
75,MEDIANFLOW,32.984845004941285
75,MOSSE,35.84689665786984
76,Fused,15.620499351813308
76,CSRT,21.840329667841555
76,KCF,23.08679276123039
76,MIL,23.769728648009426
76,BOOSTING,20.8806130178211
76,MEDIANFLOW,22.47220505424423
76,MOSSE,24.698178070456937
77,Fused,10.295630140987
77,CSRT,21.587033144922902
77,KCF,23.08679276123039
77,MIL,23.40939982143925
77,BOOSTING,20.615528128088304
77,MEDIANFLOW,19.313207915827967
77,MOSSE,24.698178070456937
78,Fused,14.212670403551895
78,CSRT,24.331050121192877
78,KCF,25.298221281347036
78,MIL,26.248809496813376
78,BOOSTING,27.65863337187866
78,MEDIANFLOW,20.8806130178211
78,MOSSE,29.966648127543394
79,Fused,25.495097567963924
79,CSRT,13.892443989449804
79,KCF,17.4928556845359
79,MIL,16.401219466856727
79,BOOSTING,17.4928556845359
79,MEDIANFLOW,23.08679276123039
79,MOSSE,19.209372712298546
80,Fused,21.470910553583888
80,CSRT,22.80350850198276
80,KCF,21.540659228538015
80,MIL,26.0
80,BOOSTING,25.0
80,MEDIANFLOW,14.317821063276353
80,MOSSE,30.528675044947494
81,Fused,24.166091947189145
81,CSRT,18.973665961010276
81,KCF,19.313207915827967
81,MIL,24.166091947189145
81,BOOSTING,25.298221281347036
81,MEDIANFLOW,10.295630140987
81,MOSSE,28.844410203711913
82,Fused,13.601470508735444
82,CSRT,16.492422502470642
82,KCF,19.924858845171276
82,MIL,13.601470508735444
82,BOOSTING,14.560219778561036
82,MEDIANFLOW,28.0178514522438
82,MOSSE,16.64331697709324
83,Fused,29.966648127543394
83,CSRT,22.847319317591726
83,KCF,20.591260281974
83,MIL,29.068883707497267
83,BOOSTING,20.591260281974
83,MEDIANFLOW,8.602325267042627
83,MOSSE,34.40930106817051
84,Fused,28.635642126552707
84,CSRT,21.18962010041709
84,KCF,19.235384061671343
84,MIL,27.313000567495326
84,BOOSTING,19.235384061671343
84,MEDIANFLOW,3.1622776601683795
84,MOSSE,32.449961479175904
85,Fused,27.294688127912362
85,CSRT,31.32091952673165
85,KCF,33.24154027718932
85,MIL,27.294688127912362
85,BOOSTING,37.8549864614954
85,MEDIANFLOW,51.088159097779204
85,MOSSE,29.732137494637012
86,Fused,34.0147027033899
86,CSRT,27.313000567495326
86,KCF,24.596747752497688
86,MIL,32.64965543462902
86,BOOSTING,26.0
86,MEDIANFLOW,4.242640687119285
86,MOSSE,39.11521443121589
87,Fused,32.64965543462902
87,CSRT,26.40075756488817
87,KCF,23.706539182259394
87,MIL,30.01666203960727
87,BOOSTING,21.633307652783937
87,MEDIANFLOW,3.605551275463989
87,MOSSE,40.22437072223753
88,Fused,17.46424919657298
88,CSRT,11.40175425099138
88,KCF,14.035668847618199
88,MIL,15.297058540778355
88,BOOSTING,13.152946437965905
88,MEDIANFLOW,26.076809620810597
88,MOSSE,27.294688127912362
89,Fused,12.041594578792296
89,CSRT,8.06225774829855
89,KCF,10.816653826391969
89,MIL,13.0
89,BOOSTING,12.206555615733702
89,MEDIANFLOW,31.144823004794873
89,MOSSE,21.540659228538015
90,Fused,15.811388300841896
90,CSRT,11.40175425099138
90,KCF,11.180339887498949
90,MIL,15.652475842498529
90,BOOSTING,12.0
90,MEDIANFLOW,25.179356624028344
90,MOSSE,28.42534080710379
91,Fused,36.76955262170047
91,CSRT,32.57299494980466
91,KCF,30.463092423455635
91,MIL,35.34119409414458
91,BOOSTING,29.068883707497267
91,MEDIANFLOW,3.605551275463989
91,MOSSE,48.76474136094644
92,Fused,16.401219466856727
92,CSRT,12.041594578792296
92,KCF,12.083045973594572
92,MIL,13.892443989449804
92,BOOSTING,12.0
92,MEDIANFLOW,28.635642126552707
