Frame,Tracker,IoU
0,CSRT,0.861466423024212
0,KCF,0.861466423024212
0,MIL,0.861466423024212
0,BOOSTING,0.8655144786540002
0,MEDIANFLOW,0.8580034027681979
0,Fused,0.858825414630238
1,CSRT,0.9055732308032479
1,KCF,0.9190098593465863
1,MIL,0.9145099781554297
1,BOOSTING,0.9145099781554297
1,MEDIANFLOW,0.9046868992546107
1,MOSSE,0.8770957127532634
1,Fused,0.907691739414162
2,CSRT,0.8981732905455443
2,KCF,0.9252628943415123
2,MIL,0.9026351602127923
2,BOOSTING,0.911622125543816
2,MEDIANFLOW,0.893011688634668
2,MOSSE,0.8697021070477113
2,Fused,0.9047619047619048
3,CSRT,0.8430625728721337
3,KCF,0.8732183819170597
3,MIL,0.843942661423316
3,BOOSTING,0.8177930068530839
3,MEDIANFLOW,0.8340007652085193
3,MOSSE,0.7841881386593653
3,Fused,0.8366023048156911
4,CSRT,0.8578478941969113
4,KCF,0.8616636409941619
4,MIL,0.8531924021997738
4,BOOSTING,0.8217161260639522
4,MEDIANFLOW,0.8365467625899281
4,MOSSE,0.7837810895678612
4,Fused,0.8544616397760948
5,CSRT,0.8482821526299787
5,KCF,0.882091901235842
5,MIL,0.8437740904093316
5,BOOSTING,0.8265539906103286
5,MEDIANFLOW,0.8195372620494127
5,MOSSE,0.7689261307382097
5,Fused,0.8455305204867021
6,CSRT,0.8532374842183917
6,KCF,0.8880693004331277
6,MIL,0.8532374842183917
6,BOOSTING,0.8836438869174665
6,MEDIANFLOW,0.8548710095417599
6,MOSSE,0.8007778414898656
6,Fused,0.8772210283557839
7,CSRT,0.7945478637866489
7,KCF,0.8354831235035143
7,MIL,0.8161253343523118
7,BOOSTING,0.8077898366974339
7,MEDIANFLOW,0.7760888259396024
7,MOSSE,0.7281230011706351
7,Fused,0.8090955544200307
8,CSRT,0.591971768857521
8,KCF,0.5831177395627251
8,MIL,0.5831177395627251
8,BOOSTING,0.5831177395627251
8,MEDIANFLOW,0.5852250565566737
8,MOSSE,0.5596419246549795
8,Fused,0.5849168188012651
9,CSRT,0.7614651787850217
9,KCF,0.7113760556383507
9,MIL,0.7182044887780549
9,BOOSTING,0.6715186802523047
9,MEDIANFLOW,0.7129647002063845
9,MOSSE,0.6727716727716728
9,Fused,0.7209550202515456
10,CSRT,0.7322716772703223
10,KCF,0.729795225978432
10,MIL,0.729795225978432
10,BOOSTING,0.729795225978432
10,MEDIANFLOW,0.7305776522191658
10,MOSSE,0.7376918042324194
10,Fused,0.7304327468086155
11,CSRT,0.7497336574972
11,KCF,0.7312692034979911
11,MIL,0.7038846243312398
11,BOOSTING,0.7174677608440797
11,MEDIANFLOW,0.7459297178707517
11,MOSSE,0.7608712083039404
11,Fused,0.7332902112979732
12,CSRT,0.6219443030611503
12,KCF,0.6040584564258893
12,MIL,0.5939234779443311
12,BOOSTING,0.5839157677152639
12,MEDIANFLOW,0.6076806618183784
12,MOSSE,0.5793501249759662
12,Fused,0.6087206965840589
13,CSRT,0.42579718905848574
13,KCF,0.37098452334503834
13,MIL,0.3772537235432454
13,BOOSTING,0.38358052237826484
13,MEDIANFLOW,0.38093886049593034
13,MOSSE,0.3588593399551426
13,Fused,0.3867768149535733
14,CSRT,0.44505874222529374
14,KCF,0.38169893653157744
14,MIL,0.3880824255151595
14,BOOSTING,0.35674150096215523
14,MEDIANFLOW,0.3911005121812417
14,MOSSE,0.3693099897013388
14,Fused,0.3911005121812417
15,CSRT,0.6150717850760984
15,KCF,0.5366017983467648
15,MIL,0.5566084788029925
15,BOOSTING,0.5366017983467648
15,MEDIANFLOW,0.5486284289276808
15,MOSSE,0.5178771518793929
15,Fused,0.5537948290241869
16,CSRT,0.7182779958746424
16,KCF,0.7182779958746424
16,MIL,0.7182779958746424
16,BOOSTING,0.7182779958746424
