Frame,Tracker,Distance
0,Fused,9.219544457292887
0,CSRT,9.219544457292887
0,KCF,9.219544457292887
0,MIL,9.219544457292887
0,BOOSTING,9.219544457292887
0,MEDIANFLOW,9.219544457292887
1,Fused,24.596747752497688
1,CSRT,23.706539182259394
1,KCF,24.596747752497688
1,MIL,24.596747752497688
1,BOOSTING,24.596747752497688
1,MEDIANFLOW,23.706539182259394
2,Fused,28.178005607210743
2,CSRT,26.419689627245813
2,KCF,31.304951684997057
2,MIL,27.294688127912362
2,BOOSTING,28.178005607210743
2,MEDIANFLOW,25.942243542145693
3,Fused,14.422205101855956
3,CSRT,11.40175425099138
3,KCF,26.0
3,MIL,11.704699910719626
3,BOOSTING,15.264337522473747
3,MEDIANFLOW,9.219544457292887
4,Fused,1.0
4,CSRT,9.0
4,KCF,18.439088914585774
4,MIL,2.0
4,BOOSTING,4.0
4,MEDIANFLOW,9.0
5,Fused,11.40175425099138
5,CSRT,10.770329614269007
5,KCF,16.1245154965971
5,MIL,6.708203932499369
5,BOOSTING,7.211102550927978
5,MEDIANFLOW,9.848857801796104
5,MOSSE,12.649110640673518
6,Fused,16.278820596099706
6,CSRT,5.830951894845301
6,KCF,20.396078054371138
6,MIL,4.47213595499958
6,BOOSTING,15.264337522473747
6,MEDIANFLOW,3.605551275463989
6,MOSSE,25.632011235952593
7,Fused,6.708203932499369
7,CSRT,15.811388300841896
7,KCF,8.06225774829855
7,MIL,18.027756377319946
7,BOOSTING,32.31098884280702
7,MOSSE,11.40175425099138
8,Fused,11.0
8,CSRT,21.0
8,KCF,1.4142135623730951
8,MIL,21.213203435596427
8,BOOSTING,20.0
8,MOSSE,7.0710678118654755
9,Fused,13.892443989449804
9,CSRT,19.4164878389476
9,KCF,7.280109889280518
9,MIL,21.840329667841555
9,BOOSTING,18.35755975068582
9,MOSSE,8.06225774829855
10,Fused,13.601470508735444
10,CSRT,20.024984394500787
10,KCF,5.0
10,MIL,25.709920264364882
10,BOOSTING,22.360679774997898
10,MOSSE,9.433981132056603
11,Fused,13.0
11,CSRT,19.1049731745428
11,KCF,6.324555320336759
11,MIL,29.017236257093817
11,BOOSTING,25.019992006393608
11,MOSSE,4.47213595499958
12,Fused,14.0
12,CSRT,22.02271554554524
12,KCF,7.615773105863909
12,MIL,33.015148038438355
12,BOOSTING,35.014282800023196
12,MOSSE,10.198039027185569
13,Fused,6.708203932499369
13,CSRT,4.47213595499958
13,KCF,17.88854381999832
13,MIL,33.24154027718932
13,BOOSTING,32.0
13,MOSSE,23.021728866442675
14,Fused,6.4031242374328485
14,CSRT,10.295630140987
14,KCF,24.698178070456937
14,MIL,34.52535300326414
14,BOOSTING,10.63014581273465
14,MOSSE,30.265491900843113
15,Fused,23.600847442411894
15,CSRT,27.80287754891569
15,KCF,42.44997055358225
15,MIL,23.194827009486403
15,BOOSTING,24.331050121192877
15,MOSSE,46.09772228646444
16,Fused,20.591260281974
16,CSRT,25.612496949731394
16,KCF,42.720018726587654
16,MIL,21.2602916254693
16,BOOSTING,16.0
16,MOSSE,50.695167422546305
17,Fused,21.540659228538015
17,CSRT,24.698178070456937
17,KCF,43.41658669218482
17,MIL,25.495097567963924
17,BOOSTING,16.0
17,MOSSE,52.392747589718944
18,Fused,36.05551275463989
18,CSRT,36.87817782917155
18,KCF,58.249463516842795
18,MIL,9.219544457292887
18,BOOSTING,32.28002478313795
18,MOSSE,63.90618123468183
19,Fused,4.47213595499958
19,CSRT,3.605551275463989
19,KCF,7.0
19,MIL,11.313708498984761
19,BOOSTING,1.0
20,Fused,14.317821063276353
20,CSRT,17.46424919657298
20,KCF,20.615528128088304
20,MIL,17.0
20,BOOSTING,18.027756377319946
20,MEDIANFLOW,14.212670403551895
21,Fused,19.1049731745428
21,CSRT,25.079872407968907
21,KCF,28.844410203711913
21,MIL,15.811388300841896
21,BOOSTING,26.476404589747453
21,MEDIANFLOW,15.811388300841896
22,Fused,2.8284271247461903
22,CSRT,9.486832980505138
22,KCF,15.132745950421556
22,MIL,17.69180601295413
22,BOOSTING,8.602325267042627
22,MEDIANFLOW,10.63014581273465
23,Fused,5.0
23,CSRT,3.1622776601683795
23,KCF,8.602325267042627
23,MIL,19.209372712298546
23,BOOSTING,3.0
23,MEDIANFLOW,12.806248474865697
24,Fused,8.602325267042627
24,CSRT,2.23606797749979
24,KCF,9.486832980505138
24,MIL,19.849433241279208
24,BOOSTING,0.0
24,MEDIANFLOW,13.45362404707371
25,Fused,5.0990195135927845
25,CSRT,6.324555320336759
25,KCF,3.0
25,MIL,15.811388300841896
25,BOOSTING,9.055385138137417
25,MEDIANFLOW,9.219544457292887
26,Fused,3.1622776601683795
26,CSRT,4.123105625617661
26,KCF,3.1622776601683795
26,MIL,17.804493814764857
26,BOOSTING,5.0
26,MEDIANFLOW,8.94427190999916
26,MOSSE,15.620499351813308
27,Fused,13.038404810405298
27,CSRT,18.973665961010276
27,KCF,15.652475842498529
27,MIL,21.0
27,BOOSTING,20.396078054371138
27,MEDIANFLOW,18.867962264113206
27,MOSSE,14.560219778561036
28,Fused,6.324555320336759
28,CSRT,11.661903789690601
28,KCF,9.219544457292887
28,MIL,23.706539182259394
28,BOOSTING,10.770329614269007
28,MEDIANFLOW,17.0
28,MOSSE,17.46424919657298
29,Fused,13.601470508735444
29,CSRT,6.4031242374328485
29,KCF,8.06225774829855
29,MIL,34.40930106817051
29,BOOSTING,7.0710678118654755
29,MEDIANFLOW,21.213203435596427
29,MOSSE,26.248809496813376
30,Fused,10.0
30,CSRT,17.72004514666935
30,KCF,16.15549442140351
30,MIL,11.40175425099138
30,BOOSTING,16.1245154965971
30,MEDIANFLOW,7.0710678118654755
30,MOSSE,30.59411708155671
31,Fused,11.045361017187261
31,CSRT,20.223748416156685
31,KCF,18.0
31,MIL,15.811388300841896
31,BOOSTING,18.24828759089466
31,MEDIANFLOW,13.038404810405298
31,MOSSE,23.40939982143925
32,Fused,11.0
32,CSRT,20.024984394500787
32,KCF,18.0
32,MIL,13.92838827718412
32,BOOSTING,18.439088914585774
32,MEDIANFLOW,13.601470508735444
32,MOSSE,23.40939982143925
33,Fused,10.63014581273465
33,CSRT,17.88854381999832
33,KCF,13.038404810405298
33,MIL,24.041630560342615
33,BOOSTING,13.341664064126334
33,MEDIANFLOW,20.223748416156685
33,MOSSE,14.317821063276353
34,Fused,6.4031242374328485
34,CSRT,15.524174696260024
34,KCF,8.602325267042627
34,MIL,13.45362404707371
34,BOOSTING,15.0
34,MEDIANFLOW,8.06225774829855
34,MOSSE,26.076809620810597
35,Fused,13.038404810405298
35,CSRT,19.924858845171276
35,KCF,14.422205101855956
35,MIL,7.615773105863909
35,BOOSTING,24.698178070456937
35,MEDIANFLOW,9.219544457292887
35,MOSSE,30.083217912982647
36,Fused,12.727922061357855
36,CSRT,21.470910553583888
36,KCF,14.142135623730951
36,MIL,9.219544457292887
36,BOOSTING,24.839484696748443
36,MEDIANFLOW,7.0710678118654755
36,MOSSE,32.55764119219941
37,Fused,11.661903789690601
37,CSRT,21.587033144922902
37,KCF,15.264337522473747
37,MIL,10.0
37,BOOSTING,25.059928172283335
37,MEDIANFLOW,10.816653826391969
37,MOSSE,30.083217912982647
38,Fused,12.041594578792296
38,CSRT,15.0
38,KCF,14.317821063276353
38,MIL,19.4164878389476
38,BOOSTING,23.323807579381203
38,MEDIANFLOW,7.211102550927978
38,MOSSE,35.22782990761707
39,Fused,14.317821063276353
39,CSRT,13.892443989449804
39,KCF,14.317821063276353
39,MIL,20.024984394500787
39,BOOSTING,22.847319317591726
39,MEDIANFLOW,9.848857801796104
39,MOSSE,37.33630940518894
40,Fused,24.020824298928627
40,CSRT,26.92582403567252
40,KCF,22.360679774997898
40,MIL,21.02379604162864
40,BOOSTING,35.11409973215888
40,MEDIANFLOW,8.54400374531753
40,MOSSE,50.039984012787215
41,Fused,22.561028345356956
41,CSRT,30.23243291566195
41,KCF,21.540659228538015
41,MIL,15.297058540778355
41,BOOSTING,38.91015291668744
41,MEDIANFLOW,6.324555320336759
41,MOSSE,52.46903848937962
42,Fused,27.0
42,CSRT,36.05551275463989
42,KCF,27.018512172212592
42,MIL,29.154759474226502
42,BOOSTING,48.507731342539614
42,MEDIANFLOW,7.0
42,MOSSE,65.06919393998976
43,Fused,40.26164427839479
43,CSRT,53.31041174104736
43,KCF,41.23105625617661
43,MIL,21.2602916254693
43,BOOSTING,68.35202996254024
43,MEDIANFLOW,12.649110640673518
43,MOSSE,82.20097323024831
44,Fused,41.340053217188775
44,CSRT,53.600373133029585
44,KCF,40.8166632639171
44,MIL,53.23532661682466
44,BOOSTING,64.28063471995279
44,MEDIANFLOW,29.427877939124322
44,MOSSE,82.22530024268686
45,Fused,49.0
45,CSRT,67.26812023536856
45,KCF,49.01020301937138
45,MIL,21.470910553583888
45,BOOSTING,79.07591289387686
45,MEDIANFLOW,17.4928556845359
45,MOSSE,94.00531899844816
46,Fused,48.16637831516918
46,CSRT,65.96969000988257
46,KCF,49.25444142409901
46,MIL,13.601470508735444
46,BOOSTING,76.15773105863909
46,MEDIANFLOW,13.92838827718412
46,MOSSE,96.13012014972206
47,Fused,49.01020301937138
47,CSRT,76.40026177965623
47,MIL,28.0178514522438
47,BOOSTING,60.13318551349163
47,MEDIANFLOW,21.095023109728988
47,MOSSE,107.46627377926528
48,Fused,53.75872022286245
48,CSRT,83.86298349093002
48,KCF,41.773197148410844
48,MIL,43.829214001622255
48,BOOSTING,73.7563556583431
48,MEDIANFLOW,26.92582403567252
48,MOSSE,114.0175425099138
49,Fused,64.1248781675256
49,CSRT,95.03683496413377
49,KCF,48.25971404805462
49,MIL,43.46262762420146
49,BOOSTING,100.40418317978589
49,MEDIANFLOW,34.23448553724738
