Frame,Tracker,IoU
0,CSRT,0.9843103011182783
0,KCF,0.8873409243134628
0,MIL,0.9518716577540107
0,BOOSTING,0.9741893899055573
0,MEDIANFLOW,0.962806939748351
0,Fused,0.8873409243134628
1,CSRT,0.934296525627795
1,KCF,0.8103391588052303
1,MIL,0.9247358089757725
1,BOOSTING,0.8687570164216902
1,MEDIANFLOW,0.9743679775280899
1,Fused,0.7192144120036317
2,CSRT,0.94760951257646
2,KCF,0.7583952451708766
2,MIL,0.9105586051017114
2,BOOSTING,0.8831954169318905
2,MEDIANFLOW,0.934406912804399
2,Fused,0.680264582646768
3,CSRT,0.8533234898621035
3,KCF,0.7540557454387907
3,MIL,0.940460657702037
3,BOOSTING,0.892536228120293
3,MEDIANFLOW,0.9538504520979376
3,Fused,0.815586227515073
4,CSRT,0.8408977928017498
4,KCF,0.765251524568331
4,MIL,0.8689177489177489
4,BOOSTING,0.8689177489177489
4,MEDIANFLOW,0.9284060299607769
4,Fused,0.8966742891230861
5,CSRT,0.7719298245614035
5,KCF,0.7783650216212507
5,MIL,0.7920595762340626
5,BOOSTING,0.8000694766095414
5,MEDIANFLOW,0.8419893558451091
5,MOSSE,0.7545746085644218
5,Fused,0.8372582001682086
6,CSRT,0.71484375
6,KCF,0.71484375
6,MIL,0.71484375
6,BOOSTING,0.71484375
6,MEDIANFLOW,0.8056052474657126
6,MOSSE,0.6476683937823834
6,Fused,0.7410945595854922
7,CSRT,0.801231023532994
7,KCF,0.7681717343077124
7,MIL,0.7681717343077124
7,BOOSTING,0.6375667237385436
7,MOSSE,0.695985036321719
7,Fused,0.7591674279003001
8,CSRT,0.8061907417735639
8,KCF,0.8125252717455937
8,MIL,0.787902960912205
8,BOOSTING,0.8293204023333414
8,MEDIANFLOW,0.7997309526721291
8,MOSSE,0.7826831356243121
8,Fused,0.8446129387305857
9,CSRT,0.8335457377513452
9,KCF,0.8335457377513452
9,MIL,0.8100929614873837
9,BOOSTING,0.8335457377513452
9,MEDIANFLOW,0.7422354384971207
9,MOSSE,0.7552157084867365
9,Fused,0.8020390824129142
10,CSRT,0.8014533176746917
10,KCF,0.8285985540056964
10,MIL,0.7809943808236717
10,BOOSTING,0.8044825598155088
10,MEDIANFLOW,0.7376250062817227
10,MOSSE,0.7896704721072835
10,Fused,0.7773435603670081
11,CSRT,0.7971301335972291
11,KCF,0.824015748031496
11,MIL,0.745461395370741
11,BOOSTING,0.783895653848005
11,MEDIANFLOW,0.7173593754026127
11,MOSSE,0.7453967314944908
11,Fused,0.7800371517027864
12,CSRT,0.7721940513131007
12,KCF,0.8148148148148148
12,MIL,0.7192982456140351
12,BOOSTING,0.696969696969697
12,MEDIANFLOW,0.719306917099157
12,MOSSE,0.6927777915233688
12,Fused,0.7637871634554039
13,CSRT,0.7696120321312596
13,KCF,0.6862637792197639
13,MIL,0.6902721905856538
13,BOOSTING,0.7580079876110523
13,MEDIANFLOW,0.7091846855782583
13,MOSSE,0.6560915074997302
13,Fused,0.7905547752808989
14,CSRT,0.7587342665568757
14,KCF,0.6233148496718726
14,MIL,0.7372805226623111
14,BOOSTING,0.6852570704269983
14,MEDIANFLOW,0.626797385620915
14,MOSSE,0.6013763896241398
14,Fused,0.7402031930333817
15,CSRT,0.5738565948657421
15,KCF,0.4793534537189039
15,MIL,0.633298943200513
15,BOOSTING,0.5398669786271983
15,MEDIANFLOW,0.5773831098223994
15,MOSSE,0.47255090075684897
15,Fused,0.6072864916016087
16,CSRT,0.5978882534095908
16,KCF,0.47372087622881026
16,MIL,0.5888341817574898
16,BOOSTING,0.5507860226439684
16,MEDIANFLOW,0.5160550458715596
16,MOSSE,0.4540785988431807
16,Fused,0.62890625
17,CSRT,0.5712889670673312
17,KCF,0.4642932046979866
17,MIL,0.514766902611667
17,BOOSTING,0.4835059760956175
17,MEDIANFLOW,0.4453735284409726
17,MOSSE,0.44880174291938996
17,Fused,0.5722709310940973
18,CSRT,0.4862068965517241
18,KCF,0.3594321197856678
18,MIL,0.5326182074805929
18,BOOSTING,0.40252124719072097
18,MEDIANFLOW,0.4057724342724705
18,MOSSE,0.35446670563851834
18,Fused,0.48923076923076925
19,CSRT,0.8855127509495387
19,KCF,0.8855127509495387
19,MIL,0.4566380701605368
19,BOOSTING,0.8855127509495387
19,MEDIANFLOW,0.37742226228030645
19,Fused,0.7056145675265554
20,CSRT,0.7056517477948383
20,KCF,0.7547740292807129
20,MIL,0.49945093622413067
20,BOOSTING,0.7547740292807129
20,MEDIANFLOW,0.33171962361925544
20,MOSSE,0.6547772895666408
20,Fused,0.6772482054483036
21,CSRT,0.6798659762412428
21,KCF,0.7286798630748623
21,MIL,0.48361783027263167
21,BOOSTING,0.7419016196760648
21,MEDIANFLOW,0.336819678481503
21,MOSSE,0.640052249163197
21,Fused,0.62786756499814
22,CSRT,0.7966607414931437
22,KCF,0.80450285849001
22,MIL,0.4054181194310698
22,BOOSTING,0.8340122199592668
22,MEDIANFLOW,0.30603250713958324
22,MOSSE,0.6456855115587091
22,Fused,0.6700712589073634
23,CSRT,0.7178387650085764
23,KCF,0.7742494226327945
23,MIL,0.47937508565163767
23,BOOSTING,0.7971715668031262
23,MEDIANFLOW,0.3188054882970137
23,MOSSE,0.681171871643971
23,Fused,0.7242857142857143
