Frame,Tracker,Rmse
0,Fuse,9.219544457292887
0,CSRT,9.219544457292887
0,KCF,9.219544457292887
0,MIL,9.219544457292887
0,BOOSTING,9.219544457292887
0,MEDIANFLOW,9.219544457292887
1,Fuse,18.57417562100671
1,CSRT,17.98610574860495
1,KCF,18.57417562100671
1,MIL,18.57417562100671
1,BOOSTING,18.57417562100671
1,MEDIANFLOW,17.98610574860495
2,Fuse,22.241103090149704
2,CSRT,21.173883284209662
2,KCF,23.593784492248517
2,MIL,21.870832936432333
2,BOOSTING,22.241103090149704
2,MEDIANFLOW,20.97617696340303
3,Fuse,20.566963801203133
3,CSRT,19.20286436967152
3,KCF,24.21776207662467
3,MIL,19.82422760159901
3,BOOSTING,20.71834935510066
3,MEDIANFLOW,18.741664813991314
4,Fuse,18.40108692441835
4,CSRT,17.640861656959956
4,KCF,23.177575369309018
4,MIL,17.75387281693772
4,BOOSTING,18.61719635176038
4,MEDIANFLOW,17.23948955160796
5,Fuse,29.71251139391171
5,CSRT,16.69331203406522
5,KCF,22.15851980616034
5,MIL,16.436747447918847
5,BOOSTING,17.24818831066034
5,MEDIANFLOW,16.242947187420555
5,MOSSE,65.86349520030045
6,Fuse,27.666379803446844
6,CSRT,15.611351181569317
6,KCF,21.915421836818798
6,MIL,15.311060427957674
6,BOOSTING,16.978978599601163
6,MEDIANFLOW,15.0996688705415
6,MOSSE,71.40028011149536
7,Fuse,25.997596042711333
7,CSRT,15.636495771111889
7,KCF,20.697222035819202
7,MIL,15.676415406590882
7,BOOSTING,19.56399754651385
7,MEDIANFLOW,15.0996688705415
7,MOSSE,64.47738621666772
8,Fuse,24.736387951535868
8,CSRT,16.319722219858196
8,KCF,19.519221295943137
8,MIL,16.384274303259343
8,BOOSTING,19.61292091114087
8,MEDIANFLOW,15.0996688705415
8,MOSSE,56.098128311023
9,Fuse,24.014578905323326
9,CSRT,16.655329477377503
9,KCF,18.660117898877274
9,MIL,17.008821240756223
9,BOOSTING,19.491023574969066
9,MEDIANFLOW,15.0996688705415
9,MOSSE,51.068581339214816
10,Fuse,23.469516011587924
10,CSRT,16.989301446391597
10,KCF,17.855480442099054
10,MIL,17.974729736241073
10,BOOSTING,19.769121928355386
10,MEDIANFLOW,15.0996688705415
10,MOSSE,47.96700254688981
11,Fuse,22.94740362945955
11,CSRT,17.175564037317667
11,KCF,17.192537140670463
11,MIL,19.139836293274122
11,BOOSTING,20.25874296857203
11,MEDIANFLOW,15.0996688705415
11,MOSSE,44.90943267129015
12,Fuse,22.491023850553223
12,CSRT,17.59589112876596
12,KCF,16.652558131040777
12,MIL,20.54263858417414
12,BOOSTING,21.752099810221683
12,MEDIANFLOW,15.0996688705415
12,MOSSE,42.1055222031505
13,Fuse,21.768259986897043
13,CSRT,16.997899029838113
13,KCF,16.74386881390149
13,MIL,21.697596970303284
13,BOOSTING,22.638462845343543
13,MEDIANFLOW,15.0996688705415
13,MOSSE,40.15387071420803
14,Fuse,21.08395914749726
14,CSRT,16.635303824497264
14,KCF,17.3877351409933
14,MIL,22.77864496994206
14,BOOSTING,22.042383416197683
14,MEDIANFLOW,15.0996688705415
14,MOSSE,39.12032719699568
15,Fuse,21.25
15,CSRT,17.542804792848834
15,KCF,19.90131905176137
15,MIL,22.804878863962422
15,BOOSTING,22.192341021172147
15,MEDIANFLOW,15.0996688705415
15,MOSSE,39.80520751678787
16,Fuse,21.211816906398855
16,CSRT,18.117265083826727
16,KCF,21.911587050207558
16,MIL,22.716928127046838
16,BOOSTING,21.876659600910685
16,MEDIANFLOW,15.0996688705415
16,MOSSE,40.952207917685385
17,Fuse,21.230219551908128
17,CSRT,18.544241394268166
17,KCF,23.625551139955796
17,MIL,22.880122377295102
17,BOOSTING,21.59217965426886
17,MEDIANFLOW,15.0996688705415
17,MOSSE,42.03752902055312
