Frame,Tracker,Rmse
0,Fuse,9.219544457292887
0,CSRT,9.219544457292887
0,KCF,9.219544457292887
0,MIL,9.219544457292887
0,BOOSTING,9.219544457292887
0,MEDIANFLOW,9.219544457292887
1,Fuse,18.57417562100671
1,CSRT,17.98610574860495
1,KCF,18.57417562100671
1,MIL,18.57417562100671
1,BOOSTING,18.57417562100671
1,MEDIANFLOW,17.98610574860495
2,Fuse,22.241103090149704
2,CSRT,21.173883284209662
2,KCF,23.593784492248517
2,MIL,21.870832936432333
2,BOOSTING,22.241103090149704
2,MEDIANFLOW,20.97617696340303
3,Fuse,20.566963801203133
3,CSRT,19.20286436967152
3,KCF,24.21776207662467
3,MIL,19.82422760159901
3,BOOSTING,20.71834935510066
3,MEDIANFLOW,18.741664813991314
4,Fuse,18.40108692441835
4,CSRT,17.640861656959956
4,KCF,23.177575369309018
4,MIL,17.75387281693772
4,BOOSTING,18.61719635176038
4,MEDIANFLOW,17.23948955160796
5,Fuse,17.430815624443202
5,CSRT,16.69331203406522
5,KCF,22.15851980616034
5,MIL,16.436747447918847
5,BOOSTING,17.24818831066034
5,MEDIANFLOW,16.242947187420555
5,MOSSE,12.649110640673518
6,Fuse,17.270950011094186
6,CSRT,15.611351181569317
6,KCF,21.915421836818798
6,MIL,15.311060427957674
6,BOOSTING,16.978978599601163
6,MEDIANFLOW,15.0996688705415
6,MOSSE,20.211382931407737
7,Fuse,16.328655792807933
7,CSRT,15.636495771111889
7,KCF,20.697222035819202
7,MIL,15.676415406590882
7,BOOSTING,19.56399754651385
7,MEDIANFLOW,15.0996688705415
7,MOSSE,17.76701062831524
8,Fuse,15.75154313428088
8,CSRT,16.319722219858196
8,KCF,19.519221295943137
8,MIL,16.384274303259343
8,BOOSTING,19.61292091114087
8,MEDIANFLOW,14.343988287781052
8,MOSSE,15.787653403846944
9,Fuse,15.501612819316577
9,CSRT,16.655329477377503
9,KCF,18.660117898877274
9,MIL,17.008821240756223
9,BOOSTING,19.491023574969066
9,MEDIANFLOW,14.047538337136986
9,MOSSE,14.573949361789344
10,Fuse,15.338602520201352
10,CSRT,16.989301446391597
10,KCF,17.855480442099054
10,MIL,17.974729736241073
10,BOOSTING,19.769121928355386
10,MEDIANFLOW,13.949910393977447
10,MOSSE,13.850391089544487
11,Fuse,15.160255055022436
11,CSRT,17.175564037317667
11,KCF,17.192537140670463
11,MIL,19.139836293274122
11,BOOSTING,20.25874296857203
11,MEDIANFLOW,13.760946056272308
11,MOSSE,12.933897876731294
12,Fuse,15.007690336316552
12,CSRT,17.59589112876596
12,KCF,16.652558131040777
12,MIL,20.54263858417414
12,BOOSTING,21.752099810221683
12,MEDIANFLOW,13.403979508588733
12,MOSSE,12.624381172952598
13,Fuse,14.533213193037723
13,CSRT,16.997899029838113
13,KCF,16.74386881390149
13,MIL,21.697596970303284
13,BOOSTING,22.638462845343543
13,MEDIANFLOW,12.901997460143079
13,MOSSE,14.161763857498668
14,Fuse,14.13742079258684
14,CSRT,16.635303824497264
14,KCF,17.3877351409933
14,MIL,22.77864496994206
14,BOOSTING,22.042383416197683
14,MEDIANFLOW,12.666040084753064
14,MOSSE,16.495453919186343
15,Fuse,14.966629547095765
15,CSRT,17.542804792848834
15,KCF,19.90131905176137
15,MIL,22.804878863962422
15,BOOSTING,22.192341021172147
15,MEDIANFLOW,13.93317384278734
15,MOSSE,20.989174699007453
16,Fuse,15.49952560943873
16,CSRT,18.117265083826727
16,KCF,21.911587050207558
16,MIL,22.716928127046838
16,BOOSTING,21.876659600910685
16,MEDIANFLOW,15.47982558041272
16,MOSSE,24.859605789312106
17,Fuse,16.041612554021285
17,CSRT,18.544241394268166
17,KCF,23.625551139955796
17,MIL,22.880122377295102
17,BOOSTING,21.59217965426886
17,MEDIANFLOW,17.127549187682124
17,MOSSE,27.95738515339703
