Frame,Tracker,x,y,w,h
92,CSRT,194,391,536,297
92,KCF,194,391,536,297
92,MIL,194,391,536,297
92,BOOSTING,194,391,536,297
92,MEDIANFLOW,194,391,536,297
92,MOSSE,194,391,536,297
148,CSRT,854,246,199,284
148,KCF,854,246,199,284
148,MIL,854,246,199,284
148,BOOSTING,854,246,199,284
148,MEDIANFLOW,854,246,199,284
148,MOSSE,854,246,199,284
246,CSRT,416,478,141,247
246,KCF,416,478,141,247
246,MIL,416,478,141,247
246,BOOSTING,416,478,141,247
246,MEDIANFLOW,416,478,141,247
246,MOSSE,416,478,141,247
292,CSRT,578,452,294,183
292,KCF,578,452,294,183
292,MIL,578,452,294,183
292,BOOSTING,578,452,294,183
292,MEDIANFLOW,578,452,294,183
292,MOSSE,578,452,294,183
362,CSRT,1061,424,303,151
362,KCF,1061,424,303,151
362,MIL,1061,424,303,151
362,BOOSTING,1061,424,303,151
362,MEDIANFLOW,1061,424,303,151
362,MOSSE,1061,424,303,151
392,CSRT,1304,325,221,204
392,KCF,1304,325,221,204
392,MIL,1304,325,221,204
392,BOOSTING,1304,325,221,204
392,MEDIANFLOW,1304,325,221,204
392,MOSSE,1304,325,221,204
