Frame,Tracker,x,y,w,h
75,CSRT,277,346,341,270
75,KCF,277,346,341,270
75,MIL,277,346,341,270
75,BOOSTING,277,346,341,270
75,MEDIANFLOW,277,346,341,270
75,MOSSE,277,346,341,270
98,CSRT,290,421,483,232
98,KCF,290,421,483,232
98,MIL,290,421,483,232
98,BOOSTING,290,421,483,232
98,MEDIANFLOW,290,421,483,232
98,MOSSE,290,421,483,232
132,BOOSTING,803,343,263,208
143,MOSSE,857,297,186,211
150,KCF,872,266,144,249
154,BOOSTING,835,249,175,276
154,MOSSE,835,249,175,276
239,MOSSE,408,425,288,240
242,MIL,400,437,209,265
245,CSRT,436,469,122,250
245,KCF,436,469,122,250
245,MIL,436,469,122,250
245,BOOSTING,436,469,122,250
245,MEDIANFLOW,436,469,122,250
245,MOSSE,436,469,122,250
267,MEDIANFLOW,430,504,232,221
270,MEDIANFLOW,414,508,272,198
270,MOSSE,414,508,272,198
277,MEDIANFLOW,458,479,273,198
277,MOSSE,458,479,273,198
295,CSRT,602,452,288,170
295,BOOSTING,602,452,288,170
312,KCF,740,466,264,145
350,CSRT,968,447,293,169
350,KCF,968,447,293,169
350,MIL,968,447,293,169
350,BOOSTING,968,447,293,169
350,MEDIANFLOW,968,447,293,169
350,MOSSE,968,447,293,169
360,CSRT,1041,436,312,138
360,KCF,1041,436,312,138
360,MIL,1041,436,312,138
360,BOOSTING,1041,436,312,138
360,MEDIANFLOW,1041,436,312,138
360,MOSSE,1041,436,312,138
377,CSRT,1215,368,253,157
377,KCF,1215,368,253,157
377,MIL,1215,368,253,157
377,BOOSTING,1215,368,253,157
377,MEDIANFLOW,1215,368,253,157
377,MOSSE,1215,368,253,157
