Frame,Tracker,x,y,w,h
16,CSRT,1244,551,255,170
16,KCF,1244,551,255,170
16,MIL,1244,551,255,170
16,BOOSTING,1244,551,255,170
16,MEDIANFLOW,1244,551,255,170
16,MOSSE,1244,551,255,170
39,CSRT,1271,446,176,252
39,KCF,1271,446,176,252
39,MEDIANFLOW,1271,446,176,252
39,MOSSE,1271,446,176,252
43,MIL,1210,431,235,236
43,BOOSTING,1210,431,235,236
57,MEDIANFLOW,1033,374,418,243
75,CSRT,886,304,459,277
75,KCF,886,304,459,277
75,MIL,886,304,459,277
75,BOOSTING,886,304,459,277
75,MEDIANFLOW,886,304,459,277
75,MOSSE,886,304,459,277
134,MEDIANFLOW,410,121,399,315
