Frame,Tracker,x,y,w,h
37,CSRT,386,319,216,286
37,KCF,386,319,216,286
37,MIL,386,319,216,286
37,BOOSTING,386,319,216,286
37,MEDIANFLOW,386,319,216,286
37,MOSSE,386,319,216,286
147,BOOSTING,856,257,186,276
227,BOOSTING,392,308,379,287
227,MOSSE,392,308,379,287
252,CSRT,408,506,216,232
252,KCF,408,506,216,232
252,MIL,408,506,216,232
252,BOOSTING,408,506,216,232
252,MEDIANFLOW,408,506,216,232
252,MOSSE,408,506,216,232
363,KCF,1089,414,279,155
363,MIL,1089,414,279,155
363,BOOSTING,1089,414,279,155
363,MEDIANFLOW,1089,414,279,155
363,MOSSE,1089,414,279,155
393,KCF,1313,324,212,189
393,MIL,1313,324,212,189
393,BOOSTING,1313,324,212,189
393,MEDIANFLOW,1313,324,212,189
393,MOSSE,1313,324,212,189
